Compound	toxicity	score	n_refs	pubmed_ids
Aspartame	hepatotoxicity	2.21	1	12437780
Aspartame	nephrotoxicity	2.52	9	9137807,30403670,9158693,8597155,29038387,11409539,11669456,10336520,22069658
Aspartame	ototoxicity	2.29	1	27900890
Aspartame	genotoxicity	3.33	20	9137807,9760456,36493943,22036025,34200310,22036024,15478947,26321723,32222132,9158693,20689731,10685017,29408486,8597155,18850355,30645201,11409539,29339245,20837131,8246307
Aspartame	cardiotoxicity	-0.11	1	30403670
Fipronil	nephrotoxicity	1.40	4	27643517,32651782,36697983,36403315
Fipronil	hepatotoxicity	3.84	6	32651782,32194361,34218381,36697983,25943759,33446707
Fipronil	neurotoxicity	4.18	31	28322794,21167920,32940837,30909129,25868821,30296754,34301358,34352653,32156210,32822938,22035056,8917493,33870811,33771263,27374426,31482323,21577249,35085654,34044035,20004241,16611622,27067106,27313094,21621551,33871813,26097143,24008047,18977280,30777931,18032333,34345985
Fipronil	immunotoxicity	3.73	3	32413496,30296754,31759041
Fipronil	genotoxicity	3.14	17	32413496,33050807,33405149,25868821,24460388,26282955,36113622,21188511,29368479,25601908,17149631,24938819,35870348,29331520,27371222,27595653,21146380
Adefovir_dipivoxil	genotoxicity	-0.43	2	31017265,21386925
Adefovir_dipivoxil	hepatotoxicity	2.50	7	16352365,18284182,14986281,31228017,17125666,23956101,21205151
Adefovir_dipivoxil	nephrotoxicity	5.24	80	15976740,16356579,17302367,22096391,15973721,12094387,15529522,21671843,24623213,21714795,15980671,16883349,18221137,21519215,15948869,24714768,20661153,17372702,25814481,11546945,16837073,16799983,12460055,33100076,16815236,19399802,11486172,12232846,14749147,21777281,21191520,22939662,27977591,22242973,16265070,18173234,19425198,31280390,21199525,15914676,18690961,18971179,15476146,31301948,21694884,15327411,17524266,17117909,31118563,17724844,21351588,11563082,15500383,21808434,21320001,24338503,17112914,24105676,15861345,18825719,18815461,22126791,25536518,12811231,22069643,14997399,30614440,21860787,21716719,27664568,20981219,18373879,16108169,10612317,14736963,22093327,12495304,22069672,15646644,15778544
Sulisobenzone	genotoxicity	3.36	1	27521641
Carbamazepine	immunotoxicity	0.95	5	16533621,29475659,28262249,27415772,22893952
Carbamazepine	neurotoxicity	3.20	187	12654346,3391152,15571507,6439058,9515979,16153667,28277442,16701969,1674948,33032224,6401711,33257291,12192617,34175264,25538340,2314149,27415772,8504438,10530675,33206316,147337,2201541,3085769,11750573,14506441,16450324,12150584,2945004,12897634,34214917,17418472,20512461,25111975,12177120,15080858,28745680,2236454,36608821,3145137,33260372,11346062,25656284,26436477,2870222,21737571,7715759,7555967,21626890,11919233,19183873,1296726,32537086,9153479,8719616,22582484,12027908,31278712,12453338,8836446,6491988,30086086,8573214,3371379,8597777,30342189,30669069,28814092,1420650,11879339,7907921,3569036,10379423,31539780,25782176,1217568,17636003,35304379,16983507,23965799,15510180,3934251,3280563,2839806,29678547,12432977,10434712,26936324,1352629,24803404,10094427,23955391,7697883,32600424,2342638,27413119,29156432,15270754,3338983,11797144,32737897,8681892,22286977,17538173,12196060,26519928,14523789,20116141,20050845,19719046,18640843,15276306,16168057,20947222,9438023,18360567,18222569,21720898,18752871,23265873,31084949,19853976,10728915,19952054,29525434,17418452,31708184,15716057,15813358,18672318,2308142,17624632,12422305,22203844,16139502,16190747,21272614,8831764,25619635,1495012,17406176,31324950,22262939,22339381,17225454,12397847,11444724,15590869,20573424,11735605,12445957,17337249,15050044,16647165,20927690,3950916,30503782,19103578,21253319,30568761,21494615,20416982,22236471,22727446,26560050,19272675,19815060,17348421,25062008,16491518,20046791,16231011,21188048,18950901,15871765,20648916,21840629,17950496,19674817,27597416,22050285,32798790,15266186,21431057,20508282,21928710,17826870,21303724
Carbamazepine	hepatotoxicity	3.30	86	31677073,3295590,26239606,17241210,10452926,34953957,29898616,25712654,28745680,34879783,23848138,3737441,17347634,3758598,10030780,17465707,24741196,21492891,24752500,8839665,15271182,20413803,22790970,36037622,8398372,23697284,1550698,30216880,30179701,12404785,9661830,1551543,33504758,29523098,33611196,23088585,2332596,25231249,8809226,11092611,34897348,18434079,18783732,1743173,12352223,3121292,6150774,2119269,1425492,25782176,16096883,23716885,18405372,18341684,21544075,19853976,22003123,18237476,19501153,19949568,18633333,20553011,26560050,24085192,22666603,28138970,7562939,17173601,22133982,20879012,21105289,23956101,16277730,19332084,16190747,21039766,16237810,23397584,12298421,20843939,17168987,22331495,22931300,11346057,19440247,17549590
Carbamazepine	ototoxicity	-0.22	2	17538173,15083281
Carbamazepine	hematotoxicity	1.80	2	15937649,34879783
Carbamazepine	genotoxicity	0.62	35	21885334,31082595,3798446,16707330,20466068,35450538,8818711,26436477,21784009,27996347,15574465,18468974,28408188,27548984,19949774,18779941,28503984,18656520,28903093,15962942,32278918,9585099,29885575,31707315,34470152,22084712,23014565,30445399,29958167,27415772,25058030,22766865,22272032,34153508,33248345
Carbamazepine	nephrotoxicity	-0.99	9	22263104,24958008,17538173,34879783,11735605,20130772,7562939,35059891,14651666
Carbamazepine	cardiotoxicity	0.34	13	16450324,25461905,8351886,25538340,29678547,22010449,21819236,12184016,2978366,16088658,21127749,17367544,19706166
Etomoxir	hepatotoxicity	3.47	2	19234235,21706388
Etomoxir	genotoxicity	1.35	1	18452174
Mifepristone	genotoxicity	-1.31	4	11673078,26022396,20094972,7668142
Mifepristone	cardiotoxicity	0.36	4	19596060,17635642,8437982,11451379
Mifepristone	immunotoxicity	0.78	2	36113621,8229756
Mifepristone	hepatotoxicity	1.48	5	26907462,9886996,28088388,20308330,23956101
Mifepristone	neurotoxicity	0.56	13	19602844,20160127,26631585,21076961,23280249,22237944,11743984,22850435,22500955,27052459,22048647,29092095,18828802
2-Butoxyethanol	hepatotoxicity	4.55	1	22649449
2-Butoxyethanol	neurotoxicity	3.10	3	24399739,9865242,27497993
2-Butoxyethanol	immunotoxicity	4.43	1	1715831
2-Butoxyethanol	hematotoxicity	9.25	6	10889517,2730682,22580533,3612528,1539158,8243415
2-Butoxyethanol	nephrotoxicity	1.70	1	9871882
2-Butoxyethanol	genotoxicity	4.16	7	8482587,6499795,21217841,9372852,9450478,25820171,20727169
Atrazine	neurotoxicity	3.11	39	28027470,33713789,34663174,26075868,24912478,30580161,34673406,28936609,34030342,26331294,31869719,33485040,24863964,32561961,31185338,36583261,17145086,26256823,31683446,32737625,35472415,33388679,36809709,36498866,34146662,23602412,36841081,29049987,27415772,29865786,36216167,24561379,28942278,18423833,25445803,15929893,34624533,24913803,36126741
Atrazine	hepatotoxicity	2.24	11	28186385,33485040,36790565,34050517,3429762,27915142,26476475,24440342,36282381,26775023,36564684
Atrazine	immunotoxicity	6.06	40	31398777,17662328,1534425,34147975,22982499,12883079,10820076,27417299,30193222,23638890,22012874,28736286,35091378,33728608,27957240,25640594,31659708,30308298,31874286,29040958,31580934,14514952,30629250,18382854,30007155,18226067,36396070,31839289,27415772,15888671,19357072,26738389,25917970,27697710,22634252,33624241,22032520,25498291,25259610,36084878
Atrazine	nephrotoxicity	0.81	7	24323408,23623483,30286554,29107825,30360616,33960999,31349198
Atrazine	genotoxicity	3.44	55	20607394,11080666,21768606,11071396,20549606,15254673,18582598,26081367,36870175,8167442,2688762,21787700,10350602,30195392,10350597,8466288,22795586,15903195,9037261,16527446,24875917,29040958,36549823,21443921,28531839,24328755,31659708,22153302,3193977,11516710,36396070,26681004,1616310,27415772,24508945,24929351,11312039,9707097,22739540,14991755,15195800,8379213,15162058,9725995,25882832,30721846,24433785,15099826,16416428,11254942,28936609,1374535,32783869,15655806,1382231
Atrazine	cardiotoxicity	1.91	6	27924060,15655806,29778080,27112537,31203168,24863870
Amoxicillin	neurotoxicity	-0.93	10	32841941,13679281,23812111,26429924,23662315,27900944,22855656,10615548,22652317,22506251
Amoxicillin	hepatotoxicity	1.56	29	9072200,9741209,21712012,7577112,21783281,1568657,7640943,9090930,9296855,10721209,18215001,8816722,1661553,8153703,10902278,18666253,21586591,24085192,22931300,23956101,20553011,16187174,17516833,20843939,34767876,12602373,18350147,19502657,12879990
Amoxicillin	nephrotoxicity	-0.49	12	10411577,32162586,21163725,10615548,7357487,23603656,11347723,18215001,3712526,34751788,22069672,16895593
Amoxicillin	ototoxicity	1.32	5	10710871,35819801,18598837,9515673,15117142
Amoxicillin	genotoxicity	-1.16	9	33984417,19790260,31152944,31319313,15766919,12235919,23179225,22084712,22249086
Amoxicillin	cardiotoxicity	-1.17	3	32930780,22591294,20064605
Thiacloprid	immunotoxicity	4.01	1	34564187
Thiacloprid	neurotoxicity	3.08	4	26513508,36078631,36745244,36155223
Thiacloprid	hepatotoxicity	5.12	5	32229153,32194361,35349858,33426623,31328355
Thiacloprid	nephrotoxicity	1.27	1	31328355
Thiacloprid	genotoxicity	4.09	9	32118477,31533058,36052857,31400412,26273754,22730181,22545045,21786385,33211291
Ibuprofen	nephrotoxicity	1.82	55	10979111,12852704,19492485,1933130,1935150,11219488,3975749,8820499,11987507,19523510,311157,18161576,420719,22331206,3812531,15810899,21753897,11009046,36127547,6375363,19238454,8795442,20046466,12723747,6685136,29938546,34859872,7932183,12717465,23305077,29558665,22069672,3291741,6335023,8424133,19701861,7914617,23532925,7143649,34897282,19800206,10991954,11589252,12880547,21942591,21173011,29987455,18472996,17722233,6420135,8428401,24074058,35049408,9030680,22357916
Ibuprofen	ototoxicity	-1.02	1	29197586
Ibuprofen	neurotoxicity	1.28	43	15931668,29156432,21684300,7802308,18269734,26436477,21092260,15681801,27058925,15649708,20452332,15223239,21815876,33669839,15670648,18648507,27348899,18760329,36453531,21699726,21667279,33611137,19492485,12392782,34404301,18652670,21687761,27785820,1803791,16498717,15331142,17335733,11080519,8069664,10995830,18556069,21577249,22074460,18946735,27729293,20157512,24333387,27167771
Ibuprofen	hepatotoxicity	2.50	47	21143878,21360558,11446826,3729968,20829430,26991794,16679073,3420949,15516343,17944539,24085192,27092633,9732947,10979111,30991684,17420222,33189440,7992311,20657632,20582911,20553011,22931300,835940,28188341,17662147,35952865,20843939,18159037,24747151,26424593,19337428,6148306,19786506,33125495,22087105,30575425,26099455,36008576,19773537,16886709,12067249,27118496,28614776,29938546,9168252,31984540,8160214
Ibuprofen	immunotoxicity	-1.22	1	18958662
Ibuprofen	cardiotoxicity	-0.10	10	17325706,27601438,3993392,2139234,31191865,28153724,21092260,35860526,20606837,21358837
Ibuprofen	genotoxicity	0.15	22	27036085,20504830,19426796,22084712,22498038,18972594,22283434,9357569,15962942,21971971,11755008,33551100,29421735,20696478,24393029,25038277,3531298,19177498,24816276,25010344,20926620,26436477
Fingolimod	genotoxicity	-1.02	2	25028537,34981532
Fingolimod	cardiotoxicity	2.89	11	27573555,21425262,17516874,35643216,27910101,22612746,34559972,26967515,26041795,31035240,31593801
Fingolimod	neurotoxicity	1.84	13	23435938,24142108,31664682,36410428,27671228,36047496,23471662,12831371,14766378,28134307,21280082,21406175,27943027
Fingolimod	hepatotoxicity	2.18	3	31827236,25511835,31035240
Fingolimod	immunotoxicity	1.06	1	24356939
Fingolimod	nephrotoxicity	1.50	9	15669207,17161344,19100477,12831371,20304197,14766378,15808564,14710781,18455036
Diuron	immunotoxicity	2.60	2	18941987,22012874
Diuron	neurotoxicity	-0.32	2	22208359,36306114
Diuron	hepatotoxicity	1.71	1	28683350
Diuron	genotoxicity	2.42	15	18703238,25498420,26086120,19812366,28326483,27078212,24291084,20574074,30010034,26994368,27777339,22115909,16730112,33052562,19875433
Tigecycline	nephrotoxicity	1.75	8	21477703,26934182,21407003,31377765,25793437,24583855,31355341,29069421
Tigecycline	neurotoxicity	-1.43	1	21407003
Tigecycline	hepatotoxicity	5.21	5	32858577,19909895,35364753,35670488,23956101
Testosterone	genotoxicity	-0.52	89	20067217,16818251,14555193,18522717,25720297,30040958,20026162,12475390,31771500,14698414,19680455,18331653,23474392,19958772,12694747,12953742,17436329,22889898,19639176,30877616,20658732,12787915,9111603,21941606,22272001,18325085,22279418,8841488,28554659,19673099,16093400,28167441,18347083,17764006,25344432,33831471,22175647,15618652,25910915,19736233,8076372,10188198,11682638,20817254,11311483,15125692,12460902,18087587,16818242,14729019,8424814,17456577,34380069,16793327,2540752,8480329,22096084,7728979,1833765,18069048,17261765,9673113,25058030,18569160,20959722,2271712,2137028,1561629,17141554,22459607,14577831,17855713,20423814,14755680,22058015,9198005,20011461,30030102,31621018,22272032,2512003,28545014,33051752,21768606,17360155,18381236,9679565,12778319,25846364
Testosterone	hepatotoxicity	0.53	72	14610229,25683034,11589254,22931300,36696728,11440282,6439971,7871539,16719252,21417635,27484514,34354245,31176127,35940575,22659344,20233841,18714816,17493618,28138310,23531554,17392391,17907058,21675871,22195263,30453003,14628500,23850985,6151171,7601489,15057909,22011590,26739624,16222870,22511346,14967002,19958826,16092070,26587777,21964476,17299064,20531057,19250779,18607612,31270302,19770483,17926915,20624855,12131305,17851650,12748988,15981739,29575091,28545014,17610925,20021060,14649214,35748891,23956101,28531762,29533874,24813645,888151,18621092,22224048,16677059,25656088,28573719,27794450,22736600,36051334,21540358,12062933
Testosterone	neurotoxicity	-0.45	83	14718612,16610541,18854841,15928672,29665500,22521941,21415092,15591638,9843162,21335947,22015977,30262264,11823067,28655647,23810450,11744660,11855696,34874569,19576964,20599831,35115156,25045655,21318024,29729985,21290409,8263548,22258370,8739629,18568364,26934186,20211701,10643539,29477545,34127616,28598268,28810189,11689174,30529634,17112453,24592867,17055174,2238435,20628444,24075507,8566488,19837873,21765998,21858230,21073661,26074748,27167771,20816782,7538305,14396169,15943860,12832521,34408402,18852023,8867072,12105091,15542719,17047310,20621188,11172749,19337518,19426536,30552945,8104320,27267904,12668048,13803642,16926530,11943514,26265167,15996533,15664693,21783552,7666079,20880685,15929893,17945479,33677017,32151835
Testosterone	immunotoxicity	-0.00	15	12675203,16818251,17938730,16581533,27267904,25708297,27626407,20563929,19464569,18087587,16020191,19406486,22032520,33191202,21373971
Testosterone	hematotoxicity	-0.10	3	22736600,20381478,25650282
Testosterone	ototoxicity	-3.71	1	17112453
Testosterone	cardiotoxicity	-1.78	20	21331374,33158202,28621142,19484391,34512871,19282098,26199281,21443509,22615792,20501642,11175645,27524523,16615097,11377395,23537599,30086269,30499711,21443510,30116498,26746999
Testosterone	nephrotoxicity	-1.36	39	32247620,506764,36696728,7206834,7061883,8570864,15914208,12754060,17610925,3179331,7871539,11311212,21957373,28138310,21417635,2260985,6729829,8257952,17624748,3656581,7839370,18565706,8048065,17364183,3396498,21443506,2264925,7045571,8778234,30453003,1618448,3699108,22423898,7891364,3133851,6457504,21373971,28904297,16818251
[4-Chloro-6-(2,3-xylidino)-2-pyrimidinylthio]acetic_acid	cardiotoxicity	1.10	1	23941634
[4-Chloro-6-(2,3-xylidino)-2-pyrimidinylthio]acetic_acid	genotoxicity	3.52	17	11330050,22539621,35690182,20127075,26198647,25058030,15018150,21873647,23153559,3383337,15890375,2457433,20007298,22484513,25270620,7857696,7681523
[4-Chloro-6-(2,3-xylidino)-2-pyrimidinylthio]acetic_acid	nephrotoxicity	1.37	3	17495861,11560249,20368269
[4-Chloro-6-(2,3-xylidino)-2-pyrimidinylthio]acetic_acid	hepatotoxicity	4.96	14	20869979,20953357,19483382,26168851,20553011,22318764,27665778,17624652,20829430,27853831,16221962,27482818,23956101,28469246
[4-Chloro-6-(2,3-xylidino)-2-pyrimidinylthio]acetic_acid	neurotoxicity	2.18	6	28385499,15211590,11592119,18183618,16782780,25048111
Camptothecin	genotoxicity	3.20	194	26252178,26032771,27943067,16273241,19577607,9639703,20824091,15150090,22350898,22580959,27694308,8684406,25063076,29865166,22655027,31176019,12629512,15866463,16093433,10468612,16997331,11387020,18639523,17374387,31278615,16428325,11389927,18951961,22333915,10493969,19190131,22294094,12540369,8671755,19407812,27803455,29805983,17038621,20053762,20013318,22025679,18086921,21266351,20972445,15929725,12610517,28735042,21145583,15608676,22355404,29298824,18473721,28987538,21389083,24792648,18342608,22615860,21475306,20206136,17516995,12839962,27185882,16480977,25893297,18074021,22578086,33374934,21731742,28545970,22415824,21637658,22246181,21456053,30676768,16498404,11516715,21440578,27030982,21637552,28981092,11380620,11861367,21325706,17709397,22158865,24219989,11840341,24741789,28361849,23007316,17713603,26008972,17140446,32482060,15208667,14704340,21490603,17074802,18307537,19819285,30720231,17272723,18387846,19302214,22871320,18159231,19663821,15735665,24211769,25119147,17928296,21658395,24183724,12051721,16015338,9400702,28937686,18504617,22972498,31296950,2175833,20429933,21459094,28089177,15261156,15781217,22414655,19223549,20637188,20936170,23126525,26501353,20095849,22102830,18339864,18820127,26625007,26294215,27339653,30590055,20113479,22544741,16928813,19959400,15743838,14568290,20107320,23918525,22895166,10344722,19758748,22675468,23682763,21103343,22003191,20699642,16137618,31409894,20111719,1646393,18387845,17825044,17962814,20338862,30209297,18693109,11880543,16529987,29244158,20840797,22164208,35778544,22990674,20501547,28657311,17634129,31284735,18550533,25977998,23071680,10811101,17548347,20967229,15366785,21918620,20932476,15684817,21904648,20213810,25843524,29420790,18245483,12082016,19853651
Camptothecin	cardiotoxicity	1.96	33	14693063,8031156,31278615,20233884,9247609,35642907,24869761,12687290,21163073,21049517,29370702,10194547,18264205,21060932,9861240,36253013,23249567,15102937,15155139,17875725,28557449,10235466,19540072,29721577,10608483,25987082,16805825,22283472,19936641,24299960,24451074,12644814,25304969
Camptothecin	hepatotoxicity	1.80	25	21674854,21243394,17873515,20852907,9769785,20829430,18349394,23956101,24965391,28599872,20167564,10949985,8070026,11042563,20049936,26112080,19247029,26626490,19701965,36164692,15122760,11826499,15701859,17112001,23041049
Camptothecin	neurotoxicity	2.10	81	21909362,17942733,24103898,10942068,16790317,18477855,16635282,21918357,15930889,26353772,11383210,16356303,16404360,11346931,21163137,17924208,25923094,21772096,15855226,11711852,28040425,12085178,22402322,21180382,18845989,18281265,23169296,12963697,17470860,12204669,21575503,15331924,18279576,12039926,20600288,32164906,19513514,7767947,20037366,11743211,11142487,29936457,12469146,17665546,16009951,25063076,21833683,22127346,19189106,24647526,25337750,18360567,11742707,17957505,18544957,23392220,17559146,15113044,9751194,26911479,15550581,24717407,32871526,19352139,17536342,15277259,11137204,12044505,16449682,18682717,26037783,30470690,16291583,15245816,20702138,25987082,27140876,22199312,12552946,17384515,25132748
Camptothecin	immunotoxicity	0.68	4	16104527,12464623,29874067,36194953
Camptothecin	hematotoxicity	4.91	16	12405289,12873673,18633225,17336054,10077164,25088940,18565358,10830136,30037491,29362307,16967056,20523092,26168496,17658777,21572345,15475463
Camptothecin	nephrotoxicity	0.19	19	27639365,15965278,11383210,19633962,21049517,11788905,22016648,11205910,12798702,29704722,9350238,16289493,15277271,11743211,7527456,31806963,1203891,11778280,12001114
Methimazole	genotoxicity	-0.58	4	8578103,15962942,26765999,35257704
Methimazole	cardiotoxicity	0.09	2	22966413,19577608
Methimazole	neurotoxicity	0.91	10	22677474,18560531,27350053,15130707,9242586,23707767,8709931,27413119,34757178,2365003
Methimazole	hepatotoxicity	4.57	65	22511519,20707932,11878166,34644794,20706665,3528517,25384184,25279406,23231846,32223355,21928702,35271661,20553011,31573408,20843295,25789213,15251733,29722569,34788025,28953662,21389085,27042749,10725113,26486479,24847631,24085192,19534646,21234410,2982508,31240859,27561657,21430926,19885811,22892501,23047615,9782070,27506418,21929775,10362270,23256569,17389704,20610609,35144533,4007783,33779553,2523194,25747892,30067105,12467281,31202168,31740989,25545158,15515580,32738035,1832793,20427502,22332800,3629588,30473507,20144635,23756266,22820213,23956101,25156887,20843939
Methimazole	immunotoxicity	0.51	1	22677474
Methimazole	nephrotoxicity	1.77	16	18243470,7882190,11197076,12626654,9299606,30111225,3335049,7618182,9316341,1731048,10600279,9048226,8269585,17347324,7909624,20472414
Iopanoic_acid	nephrotoxicity	3.88	10	711401,3843670,14053348,14124710,4569777,7235788,14085024,5551801,1112647,6758574
Iopanoic_acid	neurotoxicity	0.37	1	948611
5-Fluorouracil	cardiotoxicity	4.34	626	2291460,6546298,31203389,9747818,11419562,24041405,32162823,28283339,10370784,23768465,29582557,7655778,10334527,12058965,2234455,7578376,8422644,18660728,28521972,24299960,26980771,6233441,21127749,11352968,19789694,1637660,16101196,22345889,28324265,2705734,7693420,8233284,31278615,12899501,6230422,21147693,17649788,16369751,3660474,30396014,18317582,2973029,7980224,2347052,9687887,20042972,35341693,2651576,9207869,32174608,9225957,8935192,20308670,21726348,7870005,9816034,9422067,3952818,23393861,9528843,17030546,8085846,9813641,8272153,20668600,12034146,9250550,7780886,8597907,2205312,2675999,17897740,12452452,22186341,31519717,630214,21275498,22773220,1727913,12170449,25783948,15838014,2098095,9538168,6197002,19930599,21277101,8253323,31851385,7183487,21050310,15978800,15899622,30470591,12799623,17343325,9229320,15661550,7812704,20093950,15611524,8260231,2968263,7555374,27498129,34498471,11996484,17436411,10853413,8633257,6548066,8035725,27502729,15933422,12678747,20179805,15328825,1827177,9180391,70620,9389916,10093610,20210725,19779118,24486618,12884648,2044046,21868556,33683181,12899507,18208791,15899625,35599280,16311676,9626797,17380437,35548958,8085212,11251000,3383127,23042307,21577028,3322590,11999096,6354509,35606482,2291457,23019400,8714749,2422710,16350484,34792740,3409458,27034194,25449494,21321041,3902267,7466925,22661994,20529041,22068815,8374883,21163073,20233884,24755457,7596036,15023436,10512173,9365165,11694775,19127237,3815581,6866817,26875134,16154943,15999363,15837983,9669654,3164312,23317531,9126304,1913227,21078249,21208764,16567310,18676329,11734065,2249339,9182022,22755303,2847991,2947159,11157009,14976858,6307186,12402434,3661619,21606423,24309454,3224403,36253013,3319758,9296228,16361558,21705993,24093908,16309273,30862114,19203898,12860162,9374096,32895407,31931649,3984047,15945507,9193323,24917005,34800596,25176229,29803650,10774569,11417246,37018874,21762335,7803534,23363901,22652078,10874764,6514209,2344152,8422597,2085263,8596132,34185243,15033676,11561769,8160100,6820919,10777249,8739080,15153089,12405579,19415535,22649339,7862358,14768404,8595173,3838618,20587042,20529245,20709813,21637324,33537861,17571399,12942200,21160270,35347593,9890539,30121640,6754062,1832341,20071309,9015489,8300889,2519238,15723709,2897433,30633206,20721521,7296556,8955657,36674883,9949273,32164492,2230913,11870533,10477008,30348619,3534581,7079856,11240331,21603868,19309247,8622079,11286477,28190761,17166388,10966000,11205227,15717740,12216937,15977964,25858685,22740819,23582737,16729482,1567171,16866187,6200979,35101590,7954023,3922612,1875232,12422546,9390208,16104623,36753813,10920949,17094405,11140150,19561527,8754326,1786427,19534435,21607046,25158670,2602632,20007921,32372765,8358059,1316201,23812226,24082383,24692679,12771913,32959474,26636535,15952915,29960638,34185773,6506081,14748761,17054249,27622829,2328669,21610170,8697976,15878759,6408998,10629652,11694772,17493091,8630887,19169606,1403060,18203425,3049953,29762143,6595969,3840300,647321,7168016,29038417,16529545,16546863,26701613,3187073,18264205,8453690,11378344,10091793,17254324,23046680,11138464,3859251,22909389,8758800,19202960,30634681,17940499,2660665,18079582,1899489,1346985,29548480,27127440,22701028,19013659,9491136,8471327,3894276,23108952,35126817,18594499,12070449,15994176,8280652,10521060,19936641,2672149,16808550,20106720,12067953,11504378,28536214,36442718,10235688,23583220,1688336,6959564,24867118,2737845,23394482,2509606,33847220,9891497,2580486,8905032,3137469,23091543,16981070,19819776,11345600,21358837,7742593,15272225,10027340,3663962,8512588,3660150,7993841,7704494,22666200,12067140,30927036,7241861,18396651,16352580,16936371,9150898,3245824,11272331,19606213,7828126,23241239,19307737,30668345,7865240,6387802,1993429,17353926,7810505,32266582,6232053,12075751,9063536,17516068,3349416,6990214,19103732,2910423,33930532,7545224,17060812,16418875,29465031,2104099,19693503,2910506,22295205,9778619,25987082,2278719,17636329,26376561,16148021,18285678,10235466,6423805,25671635,17486132,8140566,25919346,10854564,10582438,25935919,27755238,9386863,14564986,2705401,1222391,3275485,11474271,30404764,15855175,16858245,19945181,33247369,7987976,21847410,8007870,12629938,10472346,7749156,6761595,8186172,1642435,17465463,25935793,17624096,9830621,11396359,34503643,26518668,2170140,2346125,30396850,3902215,9307766,23249567,8317911,22812382,18651423,24273046,25487774,12056098,2039705,16697705,18231644,10732745,21218604,11677442,8535936,30531368,9167740,11970749,1580574,24506965,19584743,23027461,12113705,18269775,12801047,14749623,8652238,15477723,29764506,19287123,19863462,25034007,22495699,8233298,11181656,9093724,26482827,8839912,16314622,7343380,386594,18343950,26321502,22964337,32872376,17023784,24035961,25186061,18664656,6539459,8193429,16891866,19002271,3300968,24704391,25038499,3550612,23999848,9307197,17686164,10897216,2083185,29106497,19300240,20683054,21301318,9740078,28353359,8669796,2466960,15231861,36256893,17343330,6385262,33705623,24331191,3938225,638633,35198633,1421694,6548892,19353811,11694788,3208811,7445106,7715910,23102544,23218901,12796019,30832605,25852107,32860674,20056096,4051516,18795667,21126826,12597151,1606078,28127745,35798468,21079148,9459149,35411625,29183892,9380584,7777242,15725158,12592360,18344111,7414712,32762143,31925673,12525522,1671927,20399520,9393755,24558023,31587781
5-Fluorouracil	nephrotoxicity	1.78	208	17352269,3530139,34946766,11743211,2284698,19523510,9611050,20138443,17163471,29084678,15033673,21790235,2241187,2649374,19192656,6252466,2758335,29694984,30695374,7872721,7715909,3167233,25735393,10983693,9893671,4040809,12357305,11204657,9422067,9081280,12698179,11418463,12422304,2675999,3095503,27669422,2827466,3570052,24486618,7813942,12172973,14523796,420954,34357466,1093059,1628224,19633962,24413895,21152225,1342059,2995600,2044046,31022233,11150904,18560402,14533437,26434880,12504039,6228218,29061825,10590379,8557229,33886055,16515704,8221714,20217448,11788905,9124184,15999363,2416423,6683991,21270619,11778280,2982705,8739323,26279284,9265345,25684463,24055193,6225508,147131,6789265,8379671,19688066,29417758,17657790,20020992,2127690,21052661,1333517,3407621,28202000,1826720,11563416,17166388,16404347,17692474,16612154,24409075,27699503,36050607,14722034,8453690,6433066,22563510,25283499,19332728,22450906,6282110,22866897,2345995,6892500,28364288,8471327,20638185,15841080,16184922,7812912,22989664,17430667,19604121,3859251,11735812,27817239,2686394,12381902,1697321,19732449,16121929,3925784,25434307,11576835,1699403,2801602,9749084,15681598,142579,7558945,30668345,20567127,2880677,2587004,20231623,12506483,6950156,9464329,6401771,16109461,16806962,15083199,93982,25919346,8765441,16428940,24628963,27362760,2909291,3338666,33285692,25241995,3069815,2885765,6685195,2480245,27714838,2934124,2196107,10572237,11677442,12071535,18030010,17309673,33268682,2208023,18269775,24916547,7201459,3543242,9305700,23317260,19692779,23558673,20439345,3698038,20951012,10930966,8346932,6380837,1830020,10586424,22290566,12772783,9614438,35209969,19409725,15221599,1616547,24102360,29795190,22214987,25986684,6238136,1992527,28189472,2446489,3429979,9112458,6541019
