Compound	toxicity	score	n_refs	pubmed_ids
Ketoconazole	immunotoxicity	0.52	2	10403127,2177039
1,2,4-Tribromobenzene	hepatotoxicity	8.52	2	22476434,9456081
Arsenic_oxide_(As2O3)	genotoxicity	3.01	38	21565247,18246126,10444909,25431299,25054231,1383725,31024166,25339131,17574654,11369113,18822301,10581825,16213187,25906049,23023949,9600688,16696182,24004876,1383724,25501642,24887205,22001193,28262482,19545645,20796291,20170701,20623008,24061964,17718811,26396013,19880156,12085641,31345371,18940264,16764896,25344162,17216127,17482447
Arsenic_oxide_(As2O3)	cardiotoxicity	5.41	80	34037972,29339628,34697146,33992675,26815588,16597375,29095437,11547772,34333357,25107562,23471352,34134554,33879037,28209094,32025748,25746422,27256307,32096187,36918482,35676786,12189281,36707890,32336675,15328825,28094846,27608960,12791306,35366752,24901647,18346055,36335523,36148949,29035754,28521025,33173984,25395240,33173965,21282932,24801902,11103058,11547771,14636467,30339249,23474023,35171536,22715121,23436664,23542815,23201927,29372663,25144547,32920515,18332854,19203718,23103450,24548979,35195477,28525371,29297235,26886836,28391263,28474970,16168477,24441683,17020459,33603344,17229334,33858561,33505582,28494415,31571030,31344536,22889704,23664956,25499624,30617460,11368433,28092839,23161055,30717322
Arsenic_oxide_(As2O3)	immunotoxicity	4.43	12	29705531,35128593,29571380,18424721,20047232,14703492,19800901,31713821,36014502,30145471,31896471,21777978
Arsenic_oxide_(As2O3)	neurotoxicity	2.51	24	11864496,26494474,16705804,19410645,28849511,19695276,18555710,17064664,27697713,29223816,16230839,23998907,32678762,24831965,19422848,35128593,30668372,28849461,28849506,33948854,29095437,27174766,20804627,34134554
Arsenic_oxide_(As2O3)	hepatotoxicity	4.57	27	22374430,27561292,33402059,28425042,35830931,21448278,19850784,29579321,25815309,34134554,23081861,32856659,19246888,23023136,23168069,33846815,31442540,25147808,23412590,29095437,29697268,16525498,33000240,32546959,34560535,33107373,29751151
Arsenic_oxide_(As2O3)	nephrotoxicity	2.20	17	20120491,19674877,32583728,32146384,35728306,29095437,25444910,34022626,23471352,12597150,16716044,31612257,26713532,32919218,31678180,17258074,34166936
Methylparaben	nephrotoxicity	-0.09	1	22069658
Methylparaben	hematotoxicity	4.88	1	22279373
Methylparaben	hepatotoxicity	2.55	3	35905631,30572011,22279373
Methylparaben	neurotoxicity	1.59	3	9249107,23068419,19051586
Methylparaben	genotoxicity	2.57	8	30572011,28315385,33866511,19399250,21637432,22118339,19101832,15833376
5-Azacytidine	hematotoxicity	3.28	3	26371947,24680972,30327826
5-Azacytidine	nephrotoxicity	0.44	13	25015661,2408749,19528494,27543423,19723570,28739690,21965735,7572764,28709638,6160887,11219485,26531130,6175410
5-Azacytidine	hepatotoxicity	0.83	10	36149461,18829727,30672391,4125219,26531130,2408749,20843939,20553011,25895027,25066676
5-Azacytidine	neurotoxicity	0.14	12	21954354,23441691,7505267,26678494,10492074,59627,23053268,17596541,19723570,22129734,25224457,2412461
5-Azacytidine	cardiotoxicity	0.64	7	22082134,30986742,6191561,26940554,21494607,28345491,35037800
5-Azacytidine	genotoxicity	1.30	30	24639139,1695571,21143203,21781278,19926393,20674514,30919591,19642975,21163286,21700776,9816056,1380659,27325794,21136232,18172875,19409458,7683337,34115770,11815248,19628630,15890415,24183724,15999467,28324147,2480041,24403269,15103049,16510601,2409441,25159616
Tetracycline_hydrochloride	hepatotoxicity	1.79	41	790035,6696402,4039911,24489787,25272938,6486755,18823438,29595093,35901559,16538043,17875115,302572,17202758,16917069,4590715,14260641,14262279,570169,12879990,16141655,30714529,14211749,22233750,16538041,21612156,1001294,19463838,15660114,23956101,20829430,17522070,20843939,22931300,22331495,24535564,25064622,27765674,18524759,27089845,20553011,25663337
Tetracycline_hydrochloride	neurotoxicity	-1.36	11	8205643,5925315,25475590,28090784,31069703,22681613,22465424,36764589,12149459,22855807,23662315
Tetracycline_hydrochloride	ototoxicity	-0.12	3	4355298,5494451,20617476
Tetracycline_hydrochloride	nephrotoxicity	-0.28	21	839613,6461296,6842907,4203375,1889480,4325688,1103415,2790900,5087393,31368558,4311098,14166612,4298933,28248640,11855680,5945959,4293095,4532146,16236685,3277077,11089368
Tetracycline_hydrochloride	genotoxicity	-1.21	14	35166274,18227081,34236640,7565916,16406784,16769901,16818502,29923707,7517008,20196145,9397191,22647195,11027272,15962942
Tetracycline_hydrochloride	cardiotoxicity	-1.74	3	23307606,17664138,7222116
Acetochlor	immunotoxicity	5.65	3	27635644,26318563,16835054
Acetochlor	neurotoxicity	1.15	1	18945337
Acetochlor	hepatotoxicity	4.11	4	31739254,31933089,36028057,18273908
Acetochlor	genotoxicity	2.57	3	18297398,35655481,34617222
Nadolol	genotoxicity	-0.32	1	1673086
Nadolol	hepatotoxicity	1.81	2	23956101,20829430
Dasatinib_monohydrate	immunotoxicity	2.16	2	33897877,33210687
